Title,Image,Rating,Price,Ad/Organic
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue",https://m.media-amazon.com/images/I/61IDcxw27+L._AC_UY218_.jpg,3.0 out of 5 stars,"12,990",Ad
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",https://m.media-amazon.com/images/I/61qlqvTsocL._AC_UY218_.jpg,3.4 out of 5 stars,"21,990",Ad
"Wembley Educational Kids Laptop For 2-5 Years Boys Girls Computer Toys For 3 Years Ideal Birthday Gift Fun Activity Learning Alphabet,Letter,Words,Games,Mathematics,Music,Logic Memory Tool - Blue",https://m.media-amazon.com/images/I/71KBMy1AVbL._AC_UY218_.jpg,3.9 out of 5 stars,799,Ad
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) Grey",https://m.media-amazon.com/images/I/41U0mEisocL._AC_UY218_.jpg,4.2 out of 5 stars,"39,990",Ad
"VEBETO Educational Laptop for Kids (1 Year Warranty) w/ Mouse Games 20 Fun Computer Activity Learning Toy for 2 3 4 5 Years Boys Girls Learn Letters Words Mathematics Music Logic Memory Tool, Blue",https://m.media-amazon.com/images/I/61U80-WECbL._AC_UY218_.jpg,4.2 out of 5 stars,899,Ad
"Portronics MPort Spin 4-in-1 USB Hub with Type-C, USB 3.0 SuperSpeed, Rotating USB Plug, 2-Port USB 2.0 High-Speed, for Laptop, PC (Black)",https://m.media-amazon.com/images/I/51tufbT0T8L._AC_UY218_.jpg,3.6 out of 5 stars,275,Ad
"Lenovo V15 12th Gen Intel Core i7-1255U 15.6"" FHD Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg), 82TTA073IN",https://m.media-amazon.com/images/I/719+CaSnPxL._AC_UY218_.jpg,3.1 out of 5 stars,"49,990",Ad
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.0 out of 5 stars,"35,990",Ad
"Wembley Educational Laptop for Kids Toys for 2-5 Years Learning Activity Computer Toys for 3 Years Old Boy Learn Alphabet, Letter, Words, Games, Mathematics, Music, Logic Memory Tool",https://m.media-amazon.com/images/I/71iWA1NHA-L._AC_UY218_.jpg,3.9 out of 5 stars,899,Ad
"Acer Aspire Lite, AMD Ryzen 5-5625U, 16GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, Premium Metal Body, AL15-41, Thin and Light Laptop",https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,4.0 out of 5 stars,"32,990",Ad
"Gooyo 2011A Battery Operated Educational Learning Laptop Toy with LED Display and Music Effect | Babies/Girls/Boys/Toddlers | Pink Color, Power Source: 3xAA Battery (Not Included)",https://m.media-amazon.com/images/I/61hTruiYV2L._AC_UY218_.jpg,3.8 out of 5 stars,369,Ad
"STRIFF 4 in 1 USB hub Type C Multiport Adapter, Type c to 1 x USB 3.0 to 3 x USB 2.0 with 5000 MBPS Fast Data Transfer Speed for pc, Laptop, MacBook (Silver)",https://m.media-amazon.com/images/I/51Gb5kCxCbL._AC_UY218_.jpg,4.0 out of 5 stars,190,Ad
